x               y               z               Bmag            
    -6.25530   -10.05559    -3.02820     7.08773
    -6.25420   -10.05434    -3.02829     7.09154
    -6.25310   -10.05309    -3.02838     7.09536
    -6.25200   -10.05184    -3.02847     7.09918
    -6.25090   -10.05059    -3.02856     7.10300
    -6.24980   -10.04934    -3.02865     7.10683
    -6.24870   -10.04810    -3.02874     7.11066
    -6.24760   -10.04685    -3.02883     7.11449
    -6.24650   -10.04560    -3.02893     7.11834
    -6.24540   -10.04435    -3.02902     7.12218
    -6.24430   -10.04310    -3.02911     7.12603
    -6.24320   -10.04185    -3.02921     7.12989
    -6.24210   -10.04060    -3.02930     7.13375
    -6.24100   -10.03936    -3.02940     7.13761
    -6.23990   -10.03811    -3.02949     7.14148
    -6.23880   -10.03686    -3.02959     7.14536
    -6.23770   -10.03561    -3.02968     7.14924
    -6.23660   -10.03436    -3.02978     7.15312
    -6.23550   -10.03311    -3.02988     7.15701
    -6.23440   -10.03186    -3.02997     7.16090
    -6.23330   -10.03062    -3.03007     7.16480
    -6.23220   -10.02937    -3.03017     7.16870
    -6.23110   -10.02812    -3.03027     7.17261
    -6.23000   -10.02687    -3.03037     7.17652
    -6.22890   -10.02562    -3.03047     7.18044
    -6.22780   -10.02438    -3.03057     7.18436
    -6.22670   -10.02313    -3.03067     7.18828
    -6.22560   -10.02188    -3.03077     7.19221
    -6.22450   -10.02063    -3.03087     7.19615
    -6.22340   -10.01938    -3.03097     7.20009
    -6.22230   -10.01814    -3.03108     7.20403
    -6.22120   -10.01689    -3.03118     7.20798
    -6.22010   -10.01564    -3.03128     7.21194
    -6.21900   -10.01439    -3.03139     7.21590
    -6.21790   -10.01315    -3.03149     7.21986
    -6.21680   -10.01190    -3.03160     7.22383
    -6.21570   -10.01065    -3.03170     7.22780
    -6.21460   -10.00940    -3.03181     7.23178
    -6.21350   -10.00816    -3.03191     7.23576
    -6.21240   -10.00691    -3.03202     7.23975
    -6.21129   -10.00566    -3.03213     7.24374
    -6.21019   -10.00442    -3.03224     7.24773
    -6.20909   -10.00317    -3.03234     7.25173
    -6.20799   -10.00192    -3.03245     7.25574
    -6.20689   -10.00067    -3.03256     7.25975
    -6.20579    -9.99943    -3.03267     7.26376
    -6.20469    -9.99818    -3.03278     7.26778
    -6.20359    -9.99693    -3.03289     7.27181
    -6.20249    -9.99569    -3.03300     7.27584
    -6.20139    -9.99444    -3.03311     7.27987
    -6.20029    -9.99319    -3.03322     7.28391
    -6.19919    -9.99195    -3.03334     7.28795
    -6.19809    -9.99070    -3.03345     7.29200
    -6.19699    -9.98945    -3.03356     7.29605
    -6.19589    -9.98821    -3.03367     7.30011
    -6.19479    -9.98696    -3.03379     7.30417
    -6.19369    -9.98571    -3.03390     7.30823
    -6.19259    -9.98447    -3.03402     7.31231
    -6.19149    -9.98322    -3.03413     7.31638
    -6.19039    -9.98197    -3.03425     7.32046
    -6.18929    -9.98073    -3.03436     7.32455
    -6.18819    -9.97948    -3.03448     7.32864
    -6.18709    -9.97824    -3.03460     7.33273
    -6.18598    -9.97699    -3.03472     7.33683
    -6.18488    -9.97574    -3.03483     7.34093
    -6.18378    -9.97450    -3.03495     7.34504
    -6.18268    -9.97325    -3.03507     7.34915
    -6.18158    -9.97201    -3.03519     7.35327
    -6.18048    -9.97076    -3.03531     7.35739
    -6.17938    -9.96951    -3.03543     7.36152
    -6.17828    -9.96827    -3.03555     7.36565
    -6.17718    -9.96702    -3.03567     7.36979
    -6.17608    -9.96578    -3.03579     7.37393
    -6.17498    -9.96453    -3.03591     7.37807
    -6.17388    -9.96329    -3.03604     7.38223
    -6.17278    -9.96204    -3.03616     7.38638
    -6.17168    -9.96079    -3.03628     7.39054
    -6.17058    -9.95955    -3.03641     7.39470
    -6.16948    -9.95830    -3.03653     7.39887
    -6.16838    -9.95706    -3.03665     7.40305
    -6.16727    -9.95581    -3.03678     7.40723
    -6.16617    -9.95457    -3.03690     7.41141
    -6.16507    -9.95332    -3.03703     7.41560
    -6.16397    -9.95208    -3.03716     7.41979
    -6.16287    -9.95083    -3.03728     7.42399
    -6.16177    -9.94959    -3.03741     7.42819
    -6.16067    -9.94834    -3.03754     7.43239
    -6.15957    -9.94710    -3.03766     7.43661
    -6.15847    -9.94585    -3.03779     7.44082
    -6.15737    -9.94461    -3.03792     7.44504
    -6.15627    -9.94336    -3.03805     7.44927
    -6.15517    -9.94212    -3.03818     7.45350
    -6.15407    -9.94087    -3.03831     7.45773
    -6.15297    -9.93963    -3.03844     7.46197
    -6.15186    -9.93838    -3.03857     7.46621
    -6.15076    -9.93714    -3.03870     7.47046
